Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
VRSK,VERISK ANALYTICS INC,Equity,0.13,151.02,"198,648.00","29,999,820.96","29,999,820.96",Industrials,B4P9W92,US92345Y1064,NASDAQ
ETN,EATON PLC,Equity,0.13,84.72,"353,056.00","29,910,904.32","29,910,904.32",Industrials,B8KQN82,IE00B8KQN827,New York Stock Exchange Inc.
MCO,MOODYS CORP,Equity,0.13,213.20,"139,613.00","29,765,491.60","29,765,491.60",Financials,2252058,US6153691059,New York Stock Exchange Inc.
DFS,DISCOVER FINANCIAL SERVICES,Equity,0.13,81.15,"362,266.00","29,397,885.90","29,397,885.90",Financials,B1YLC43,US2547091080,New York Stock Exchange Inc.
FDX,FEDEX CORP,Equity,0.13,154.63,"190,030.00","29,384,338.90","29,384,338.90",Industrials,2142784,US31428X1063,New York Stock Exchange Inc.
OKE,ONEOK INC,Equity,0.13,70.33,"412,636.00","29,020,689.88","29,020,689.88",Energy,2130109,US6826801036,New York Stock Exchange Inc.
PAYX,PAYCHEX INC,Equity,0.13,83.27,"348,335.00","29,005,855.45","29,005,855.45",Information Technology,2674458,US7043261079,NASDAQ
ESS,ESSEX PROPERTY TRUST REIT INC,Equity,0.12,330.99,"85,476.00","28,291,701.24","28,291,701.24",Real Estate,2316619,US2971781057,New York Stock Exchange Inc.
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Equity,0.12,244.98,"115,106.00","28,198,667.88","28,198,667.88",Real Estate,BZ6TS23,US78410G1040,NASDAQ
DLR,DIGITAL REALTY TRUST REIT INC,Equity,0.12,134.81,"205,297.00","27,676,088.57","27,676,088.57",Real Estate,B03GQS4,US2538681030,New York Stock Exchange Inc.
BLL,BALL CORP,Equity,0.12,70.85,"389,511.00","27,596,854.35","27,596,854.35",Materials,2073022,US0584981064,New York Stock Exchange Inc.
K,KELLOGG,Equity,0.12,62.08,"437,541.00","27,162,545.28","27,162,545.28",Consumer Staples,2486813,US4878361082,New York Stock Exchange Inc.
ES,EVERSOURCE ENERGY,Equity,0.12,85.86,"312,030.00","26,790,895.80","26,790,895.80",Utilities,BVVN4Q8,US30040W1080,New York Stock Exchange Inc.
XEL,XCEL ENERGY INC,Equity,0.11,64.21,"413,054.00","26,522,197.34","26,522,197.34",Utilities,2614807,US98389B1008,NASDAQ
TFX,TELEFLEX INC,Equity,0.11,322.42,"81,353.00","26,229,834.26","26,229,834.26",Health Care,2881407,US8793691069,New York Stock Exchange Inc.
FLT,FLEETCOR TECHNOLOGIES INC,Equity,0.11,286.28,"91,084.00","26,075,527.52","26,075,527.52",Information Technology,B4R28B3,US3390411052,New York Stock Exchange Inc.
AKAM,AKAMAI TECHNOLOGIES INC,Equity,0.11,89.09,"289,885.00","25,825,854.65","25,825,854.65",Information Technology,2507457,US00971T1016,NASDAQ
XYL,XYLEM INC,Equity,0.11,81.27,"316,773.00","25,744,141.71","25,744,141.71",Industrials,B3P2CN8,US98419M1009,New York Stock Exchange Inc.
KLAC,KLA CORP,Equity,0.11,162.82,"154,628.00","25,176,530.96","25,176,530.96",Information Technology,2480138,US4824801009,NASDAQ
REGN,REGENERON PHARMACEUTICALS INC,Equity,0.11,301.31,"83,234.00","25,079,236.54","25,079,236.54",Health Care,2730190,US75886F1075,NASDAQ
WCG,WELLCARE HEALTHCARE PLANS INC,Equity,0.11,280.97,"88,828.00","24,958,003.16","24,958,003.16",Health Care,B01R258,US94946T1060,New York Stock Exchange Inc.
WEC,WEC ENERGY GROUP INC,Equity,0.11,93.29,"267,066.00","24,914,587.14","24,914,587.14",Utilities,BYY8XK8,US92939U1060,New York Stock Exchange Inc.
GWW,WW GRAINGER INC,Equity,0.11,319.18,"78,033.00","24,906,572.94","24,906,572.94",Industrials,2380863,US3848021040,New York Stock Exchange Inc.
APTV,APTIV PLC,Equity,0.11,90.39,"275,237.00","24,878,672.43","24,878,672.43",Consumer Discretionary,B783TY6,JE00B783TY65,New York Stock Exchange Inc.
FANG,DIAMONDBACK ENERGY INC,Equity,0.11,85.69,"287,869.00","24,667,494.61","24,667,494.61",Energy,B7Y8YR3,US25278X1090,NASDAQ
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Equity,0.11,121.67,"201,749.00","24,546,800.83","24,546,800.83",Information Technology,B1VP7R6,US11133T1034,New York Stock Exchange Inc.
AWK,AMERICAN WATER WORKS INC,Equity,0.11,122.39,"200,263.00","24,510,188.57","24,510,188.57",Utilities,B2R3PV1,US0304201033,New York Stock Exchange Inc.
ULTA,ULTA BEAUTY INC,Equity,0.11,236.91,"103,040.00","24,411,206.40","24,411,206.40",Consumer Discretionary,B28TS42,US90384S3031,NASDAQ
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Equity,0.10,121.99,"198,765.00","24,247,342.35","24,247,342.35",Communication,2122117,US8740541094,NASDAQ
PPG,PPG INDUSTRIES INC,Equity,0.10,125.27,"190,738.00","23,893,749.26","23,893,749.26",Materials,2698470,US6935061076,New York Stock Exchange Inc.
HSY,HERSHEY FOODS,Equity,0.10,149.75,"158,960.00","23,804,260.00","23,804,260.00",Consumer Staples,2422806,US4278661081,New York Stock Exchange Inc.
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Equity,0.10,122.05,"193,035.00","23,559,921.75","23,559,921.75",Consumer Discretionary,2210614,US5719032022,NASDAQ
EA,ELECTRONIC ARTS INC,Equity,0.10,94.30,"249,166.00","23,496,353.80","23,496,353.80",Communication,2310194,US2855121099,NASDAQ
ANET,ARISTA NETWORKS INC,Equity,0.10,241.50,"96,077.00","23,202,595.50","23,202,595.50",Information Technology,BN33VM5,US0404131064,New York Stock Exchange Inc.
NTAP,NETAPP INC,Equity,0.10,55.18,"419,988.00","23,174,937.84","23,174,937.84",Information Technology,2630643,US64110D1046,NASDAQ
IT,GARTNER INC,Equity,0.10,142.98,"158,605.00","22,677,342.90","22,677,342.90",Information Technology,2372763,US3666511072,New York Stock Exchange Inc.
MKTX,MARKETAXESS HOLDINGS INC,Equity,0.10,340.65,"66,435.00","22,631,082.75","22,631,082.75",Financials,B03Q9D0,US57060D1081,NASDAQ
CTXS,CITRIX SYSTEMS INC,Equity,0.10,104.10,"217,222.00","22,612,810.20","22,612,810.20",Information Technology,2182553,US1773761002,NASDAQ
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Equity,0.10,74.98,"301,343.00","22,594,698.14","22,594,698.14",Industrials,2325507,US3021301094,NASDAQ
CBOE,CBOE GLOBAL MARKETS INC,Equity,0.10,114.68,"196,196.00","22,499,757.28","22,499,757.28",Financials,B5834C5,US12503M1080,Cboe BZX formerly known as BATS
TROW,T ROWE PRICE GROUP INC,Equity,0.10,108.19,"206,458.00","22,336,691.02","22,336,691.02",Financials,2702337,US74144T1088,NASDAQ
A,AGILENT TECHNOLOGIES INC,Equity,0.09,74.69,"289,552.00","21,626,638.88","21,626,638.88",Health Care,2520153,US00846U1016,New York Stock Exchange Inc.
IEX,IDEX CORP,Equity,0.09,159.14,"132,889.00","21,147,955.46","21,147,955.46",Industrials,2456612,US45167R1041,New York Stock Exchange Inc.
EXPE,EXPEDIA GROUP INC,Equity,0.09,136.65,"151,954.00","20,764,514.10","20,764,514.10",Consumer Discretionary,B748CK2,US30212P3038,NASDAQ
BFB,BROWN FORMAN CORP CLASS B,Equity,0.09,64.55,"321,392.00","20,745,853.60","20,745,853.60",Consumer Staples,2146838,US1156372096,New York Stock Exchange Inc.
EBAY,EBAY INC,Equity,0.09,38.94,"528,888.00","20,594,898.72","20,594,898.72",Consumer Discretionary,2293819,US2786421030,NASDAQ
MCHP,MICROCHIP TECHNOLOGY INC,Equity,0.09,96.37,"213,615.00","20,586,077.55","20,586,077.55",Information Technology,2592174,US5950171042,NASDAQ
CPRT,COPART INC,Equity,0.09,83.13,"241,242.00","20,054,447.46","20,054,447.46",Industrials,2208073,US2172041061,NASDAQ
SNPS,SYNOPSYS INC,Equity,0.09,132.12,"150,734.00","19,914,976.08","19,914,976.08",Information Technology,2867719,US8716071076,NASDAQ
HRL,HORMEL FOODS CORP,Equity,0.09,40.53,"490,216.00","19,868,454.48","19,868,454.48",Consumer Staples,2437264,US4404521001,New York Stock Exchange Inc.
TSCO,TRACTOR SUPPLY,Equity,0.09,94.14,"210,106.00","19,779,378.84","19,779,378.84",Consumer Discretionary,2900335,US8923561067,NASDAQ
AJG,ARTHUR J GALLAGHER,Equity,0.08,89.68,"219,360.00","19,672,204.80","19,672,204.80",Financials,2359506,US3635761097,New York Stock Exchange Inc.
APH,AMPHENOL CORP CLASS A,Equity,0.08,99.09,"197,886.00","19,608,523.74","19,608,523.74",Information Technology,2145084,US0320951017,New York Stock Exchange Inc.
NTRS,NORTHERN TRUST CORP,Equity,0.08,97.51,"201,061.00","19,605,458.11","19,605,458.11",Financials,2648668,US6658591044,NASDAQ
LVS,LAS VEGAS SANDS CORP,Equity,0.08,58.62,"332,889.00","19,513,953.18","19,513,953.18",Consumer Discretionary,B02T2J7,US5178341070,New York Stock Exchange Inc.
FTNT,FORTINET INC,Equity,0.08,77.04,"250,543.00","19,301,832.72","19,301,832.72",Information Technology,B5B2106,US34959E1091,NASDAQ
LW,LAMB WESTON HOLDINGS INC,Equity,0.08,75.33,"255,134.00","19,219,244.22","19,219,244.22",Consumer Staples,BDQZFJ3,US5132721045,New York Stock Exchange Inc.
SIVB,SVB FINANCIAL GROUP,Equity,0.08,210.16,"90,912.00","19,106,065.92","19,106,065.92",Financials,2808053,US78486Q1013,NASDAQ
LDOS,LEIDOS HOLDINGS INC,Equity,0.08,79.29,"238,618.00","18,920,021.22","18,920,021.22",Information Technology,BDV82B8,US5253271028,New York Stock Exchange Inc.
MTD,METTLER TOLEDO INC,Equity,0.08,684.21,"27,649.00","18,917,722.29","18,917,722.29",Health Care,2126249,US5926881054,New York Stock Exchange Inc.
PNW,PINNACLE WEST CORP,Equity,0.08,94.53,"197,009.00","18,623,260.77","18,623,260.77",Utilities,2048804,US7234841010,New York Stock Exchange Inc.
VAR,VARIAN MEDICAL SYSTEMS INC,Equity,0.08,114.68,"160,650.00","18,423,342.00","18,423,342.00",Health Care,2927516,US92220P1057,New York Stock Exchange Inc.
CDNS,CADENCE DESIGN SYSTEMS INC,Equity,0.08,62.94,"289,766.00","18,237,872.04","18,237,872.04",Information Technology,2302232,US1273871087,NASDAQ
NRG,NRG ENERGY INC,Equity,0.08,40.75,"446,025.00","18,175,518.75","18,175,518.75",Utilities,2212922,US6293775085,New York Stock Exchange Inc.
EFX,EQUIFAX INC,Equity,0.08,139.33,"129,720.00","18,073,887.60","18,073,887.60",Industrials,2319146,US2944291051,New York Stock Exchange Inc.
CMS,CMS ENERGY CORP,Equity,0.08,63.73,"279,083.00","17,785,959.59","17,785,959.59",Utilities,2219224,US1258961002,New York Stock Exchange Inc.
AMP,AMERIPRISE FINANCE INC,Equity,0.08,142.45,"124,760.00","17,772,062.00","17,772,062.00",Financials,B0J7D57,US03076C1062,New York Stock Exchange Inc.
BXP,BOSTON PROPERTIES REIT INC,Equity,0.08,130.84,"134,482.00","17,595,624.88","17,595,624.88",Real Estate,2019479,US1011211018,New York Stock Exchange Inc.
ROK,ROCKWELL AUTOMATION INC,Equity,0.08,170.98,"102,411.00","17,510,232.78","17,510,232.78",Industrials,2754060,US7739031091,New York Stock Exchange Inc.
EXR,EXTRA SPACE STORAGE REIT INC,Equity,0.07,115.22,"149,750.00","17,254,195.00","17,254,195.00",Real Estate,B02HWR9,US30225T1025,New York Stock Exchange Inc.
HES,HESS CORP,Equity,0.07,67.55,"251,307.00","16,975,787.85","16,975,787.85",Energy,2023748,US42809H1077,New York Stock Exchange Inc.
USD,USD CASH,Cash,0.07,100.00,"16,769,824.00","16,769,823.50","16,769,823.50",Cash and/or Derivatives,--,--,--
MXIM,MAXIM INTEGRATED PRODUCTS INC,Equity,0.07,58.61,"285,353.00","16,724,539.33","16,724,539.33",Information Technology,2573760,US57772K1016,NASDAQ
MRO,MARATHON OIL CORP,Equity,0.07,11.73,"1,419,422.00","16,649,820.06","16,649,820.06",Energy,2910970,US5658491064,New York Stock Exchange Inc.
MLM,MARTIN MARIETTA MATERIALS INC,Equity,0.07,267.71,"62,177.00","16,645,404.67","16,645,404.67",Materials,2572079,US5732841060,New York Stock Exchange Inc.
DRI,DARDEN RESTAURANTS INC,Equity,0.07,108.82,"151,079.00","16,440,416.78","16,440,416.78",Consumer Discretionary,2289874,US2371941053,New York Stock Exchange Inc.
SWKS,SKYWORKS SOLUTIONS INC,Equity,0.07,88.96,"183,868.00","16,356,897.28","16,356,897.28",Information Technology,2961053,US83088M1027,NASDAQ
VMC,VULCAN MATERIALS,Equity,0.07,145.75,"111,730.00","16,284,647.50","16,284,647.50",Materials,2931205,US9291601097,New York Stock Exchange Inc.
WAT,WATER CORP,Equity,0.07,219.08,"70,714.00","15,492,023.12","15,492,023.12",Health Care,2937689,US9418481035,New York Stock Exchange Inc.
MAA,MID AMERICA APARTMENT COMMUNITIES,Equity,0.07,136.38,"112,107.00","15,289,152.66","15,289,152.66",Real Estate,2589132,US59522J1034,New York Stock Exchange Inc.
APA,APACHE CORP,Equity,0.07,22.95,"659,825.00","15,142,983.75","15,142,983.75",Energy,2043962,US0374111054,New York Stock Exchange Inc.
STX,SEAGATE TECHNOLOGY PLC,Equity,0.06,55.86,"267,472.00","14,940,985.92","14,940,985.92",Information Technology,B58JVZ5,IE00B58JVZ52,NASDAQ
HFC,HOLLYFRONTIER CORP,Equity,0.06,55.55,"267,291.00","14,848,015.05","14,848,015.05",Energy,B5VX1H6,US4361061082,New York Stock Exchange Inc.
FFIV,F5 NETWORKS INC,Equity,0.06,139.10,"106,396.00","14,799,683.60","14,799,683.60",Information Technology,2427599,US3156161024,NASDAQ
DVN,DEVON ENERGY CORP,Equity,0.06,20.67,"713,545.00","14,748,975.15","14,748,975.15",Energy,2480677,US25179M1036,New York Stock Exchange Inc.
CINF,CINCINNATI FINANCIAL CORP,Equity,0.06,113.38,"127,802.00","14,490,190.76","14,490,190.76",Financials,2196888,US1720621010,NASDAQ
AIV,APARTMENT INVESTMENT AND MANAGEMEN,Equity,0.06,54.85,"262,920.00","14,421,162.00","14,421,162.00",Real Estate,BJLNBG3,US03748R7540,New York Stock Exchange Inc.
DRE,DUKE REALTY REIT CORP,Equity,0.06,34.05,"422,678.00","14,392,185.90","14,392,185.90",Real Estate,2284084,US2644115055,New York Stock Exchange Inc.
UDR,UDR REIT INC,Equity,0.06,49.71,"284,365.00","14,135,784.15","14,135,784.15",Real Estate,2727910,US9026531049,New York Stock Exchange Inc.
RSG,REPUBLIC SERVICES INC,Equity,0.06,87.25,"159,680.00","13,932,080.00","13,932,080.00",Industrials,2262530,US7607591002,New York Stock Exchange Inc.
NDAQ,NASDAQ INC,Equity,0.06,97.86,"141,900.00","13,886,334.00","13,886,334.00",Financials,2965107,US6311031081,NASDAQ
ATO,ATMOS ENERGY CORP,Equity,0.06,112.33,"123,119.00","13,829,957.27","13,829,957.27",Utilities,2315359,US0495601058,New York Stock Exchange Inc.
GRMN,GARMIN LTD,Equity,0.06,87.42,"158,192.00","13,829,144.64","13,829,144.64",Consumer Discretionary,B3Z5T14,CH0114405324,NASDAQ
CE,CELANESE CORP,Equity,0.06,119.30,"115,773.00","13,811,718.90","13,811,718.90",Materials,B05MZT4,US1508701034,New York Stock Exchange Inc.
ALGN,ALIGN TECHNOLOGY INC,Equity,0.06,213.60,"64,401.00","13,756,053.60","13,756,053.60",Health Care,2679204,US0162551016,NASDAQ
NVR,NVR INC,Equity,0.06,"3,779.00","3,628.00","13,710,212.00","13,710,212.00",Consumer Discretionary,2637785,US62944T1051,New York Stock Exchange Inc.
ABMD,ABIOMED INC,Equity,0.06,170.83,"79,844.00","13,639,750.52","13,639,750.52",Health Care,2003698,US0036541003,NASDAQ
AAP,ADVANCE AUTO PARTS INC,Equity,0.06,165.98,"81,877.00","13,589,944.46","13,589,944.46",Consumer Discretionary,2822019,US00751Y1064,New York Stock Exchange Inc.
AMCR,AMCOR PLC,Equity,0.06,9.66,"1,383,905.00","13,368,522.30","13,368,522.30",Materials,BJ1F307,JE00BJ1F3079,New York Stock Exchange Inc.
CDW,CDW CORP,Equity,0.06,122.41,"107,507.00","13,159,931.87","13,159,931.87",Information Technology,BBM5MD6,US12514G1085,NASDAQ
LNT,ALLIANT ENERGY CORP,Equity,0.05,53.37,"236,526.00","12,623,392.62","12,623,392.62",Utilities,2973821,US0188021085,NASDAQ
CXO,CONCHO RESOURCES INC,Equity,0.05,65.05,"193,408.00","12,581,190.40","12,581,190.40",Energy,B1YWRK7,US20605P1012,New York Stock Exchange Inc.
HOLX,HOLOGIC INC,Equity,0.05,48.39,"257,714.00","12,470,780.46","12,470,780.46",Health Care,2433530,US4364401012,NASDAQ
KMX,CARMAX INC,Equity,0.05,94.18,"129,365.00","12,183,595.70","12,183,595.70",Consumer Discretionary,2983563,US1431301027,New York Stock Exchange Inc.
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Equity,0.05,146.38,"81,739.00","11,964,954.82","11,964,954.82",Health Care,2923785,US9139031002,New York Stock Exchange Inc.
JBHT,JB HUNT TRANSPORT SERVICES INC,Equity,0.05,117.34,"101,027.00","11,854,508.18","11,854,508.18",Industrials,2445416,US4456581077,NASDAQ
INCY,INCYTE CORP,Equity,0.05,78.51,"150,055.00","11,780,818.05","11,780,818.05",Health Care,2471950,US45337C1027,NASDAQ
HAS,HASBRO INC,Equity,0.05,100.02,"116,995.00","11,701,839.90","11,701,839.90",Consumer Discretionary,2414580,US4180561072,NASDAQ
FCX,FREEPORT MCMORAN INC,Equity,0.05,9.93,"1,147,605.00","11,395,717.65","11,395,717.65",Materials,2352118,US35671D8570,New York Stock Exchange Inc.
TMUS,T MOBILE US INC,Equity,0.05,81.67,"136,952.00","11,184,869.84","11,184,869.84",Communication,B94Q9V0,US8725901040,NASDAQ
KSU,KANSAS CITY SOUTHERN,Equity,0.05,145.06,"77,063.00","11,178,758.78","11,178,758.78",Industrials,2607647,US4851703029,New York Stock Exchange Inc.
MAS,MASCO CORP,Equity,0.05,44.27,"239,120.00","10,585,842.40","10,585,842.40",Industrials,2570200,US5745991068,New York Stock Exchange Inc.
COO,COOPER INC,Equity,0.05,281.18,"37,404.00","10,517,256.72","10,517,256.72",Health Care,2222631,US2166484020,New York Stock Exchange Inc.
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Equity,0.04,70.54,"147,887.00","10,431,948.98","10,431,948.98",Industrials,2955733,US9297401088,New York Stock Exchange Inc.
DVA,DAVITA INC,Equity,0.04,59.21,"170,921.00","10,120,232.41","10,120,232.41",Health Care,2898087,US23918K1088,New York Stock Exchange Inc.
HST,HOST HOTELS & RESORTS REIT INC,Equity,0.04,16.78,"599,475.00","10,059,190.50","10,059,190.50",Real Estate,2567503,US44107P1049,New York Stock Exchange Inc.
ETFC,E TRADE FINANCIAL CORP,Equity,0.04,40.47,"247,033.00","9,997,425.51","9,997,425.51",Financials,2299011,US2692464017,NASDAQ
EMN,EASTMAN CHEMICAL,Equity,0.04,74.23,"129,710.00","9,628,373.30","9,628,373.30",Materials,2298386,US2774321002,New York Stock Exchange Inc.
FOXA,FOX CORP CLASS A,Equity,0.04,33.45,"286,879.00","9,596,102.55","9,596,102.55",Communication,BJJMGL2,US35137L1052,NASDAQ
URI,UNITED RENTALS INC,Equity,0.04,132.40,"72,194.00","9,558,485.60","9,558,485.60",Industrials,2134781,US9113631090,New York Stock Exchange Inc.
COG,CABOT OIL & GAS CORP,Equity,0.04,18.52,"503,022.00","9,315,967.44","9,315,967.44",Energy,2162340,US1270971039,New York Stock Exchange Inc.
REG,REGENCY CENTERS REIT CORP,Equity,0.04,69.65,"130,762.00","9,107,573.30","9,107,573.30",Real Estate,2726177,US7588491032,NASDAQ
VNO,VORNADO REALTY TRUST REIT,Equity,0.04,63.65,"142,572.00","9,074,707.80","9,074,707.80",Real Estate,2933632,US9290421091,New York Stock Exchange Inc.
ADS,ALLIANCE DATA SYSTEMS CORP,Equity,0.04,124.40,"72,328.00","8,997,603.20","8,997,603.20",Information Technology,2762030,US0185811082,New York Stock Exchange Inc.
ROL,ROLLINS INC,Equity,0.04,35.98,"248,587.00","8,944,160.26","8,944,160.26",Industrials,2747305,US7757111049,New York Stock Exchange Inc.
JKHY,JACK HENRY ANS ASSOCIATES INC,Equity,0.04,139.16,"64,013.00","8,908,049.08","8,908,049.08",Information Technology,2469193,US4262811015,NASDAQ
TPR,TAPESTRY INC,Equity,0.04,26.41,"332,655.00","8,785,418.55","8,785,418.55",Consumer Discretionary,BF09HX3,US8760301072,New York Stock Exchange Inc.
ALLE,ALLEGION PLC,Equity,0.04,105.25,"83,179.00","8,754,589.75","8,754,589.75",Industrials,BFRT3W7,IE00BFRT3W74,New York Stock Exchange Inc.
PKI,PERKINELMER INC,Equity,0.04,83.97,"99,485.00","8,353,755.45","8,353,755.45",Health Care,2305844,US7140461093,New York Stock Exchange Inc.
FRT,FEDERAL REALTY INVESTMENT TRUST RE,Equity,0.04,140.46,"59,058.00","8,295,286.68","8,295,286.68",Real Estate,2333931,US3137472060,New York Stock Exchange Inc.
FMC,FMC CORP,Equity,0.04,82.16,"99,521.00","8,176,645.36","8,176,645.36",Materials,2328603,US3024913036,New York Stock Exchange Inc.
CMA,COMERICA INC,Equity,0.03,65.88,"121,289.00","7,990,519.32","7,990,519.32",Financials,2212870,US2003401070,New York Stock Exchange Inc.
AVY,AVERY DENNISON CORP,Equity,0.03,118.43,"66,817.00","7,913,137.31","7,913,137.31",Materials,2066408,US0536111091,New York Stock Exchange Inc.
TIF,TIFFANY,Equity,0.03,90.96,"86,128.00","7,834,202.88","7,834,202.88",Consumer Discretionary,2892090,US8865471085,New York Stock Exchange Inc.
CF,CF INDUSTRIES HOLDINGS INC,Equity,0.03,46.41,"165,233.00","7,668,463.53","7,668,463.53",Materials,B0G4K50,US1252691001,New York Stock Exchange Inc.
WU,WESTERN UNION,Equity,0.03,24.24,"313,433.00","7,597,615.92","7,597,615.92",Information Technology,B1F76F9,US9598021098,New York Stock Exchange Inc.
GL,GLOBE LIFE INC,Equity,0.03,95.93,"78,943.00","7,573,001.99","7,573,001.99",Financials,BK6YKG1,US37959E1029,New York Stock Exchange Inc.
HSIC,HENRY SCHEIN INC,Equity,0.03,62.49,"117,288.00","7,329,327.12","7,329,327.12",Health Care,2416962,US8064071025,NASDAQ
NWL,NEWELL BRANDS INC,Equity,0.03,19.71,"344,871.00","6,797,407.41","6,797,407.41",Consumer Discretionary,2635701,US6512291062,NASDAQ
FLS,FLOWSERVE CORP,Equity,0.03,47.92,"122,173.00","5,854,530.16","5,854,530.16",Industrials,2288406,US34354P1057,New York Stock Exchange Inc.
MOS,MOSAIC,Equity,0.02,19.68,"293,538.00","5,776,827.84","5,776,827.84",Materials,B3NPHP6,US61945C1036,New York Stock Exchange Inc.
RHI,ROBERT HALF,Equity,0.02,55.95,"95,434.00","5,339,532.30","5,339,532.30",Industrials,2110703,US7703231032,New York Stock Exchange Inc.
HRB,H&R BLOCK INC,Equity,0.02,24.35,"215,260.00","5,241,581.00","5,241,581.00",Consumer Discretionary,2105505,US0936711052,New York Stock Exchange Inc.
TRIP,TRIPADVISOR INC,Equity,0.02,38.88,"126,086.00","4,902,223.68","4,902,223.68",Communication,B6ZC3N6,US8969452015,NASDAQ
UAA,UNDER ARMOUR INC CLASS A,Equity,0.02,21.38,"213,515.00","4,564,950.70","4,564,950.70",Consumer Discretionary,B0PZN11,US9043111072,New York Stock Exchange Inc.
HBI,HANESBRANDS INC,Equity,0.02,16.31,"279,804.00","4,563,603.24","4,563,603.24",Consumer Discretionary,B1BJSL9,US4103451021,New York Stock Exchange Inc.
XEC,CIMAREX ENERGY,Equity,0.02,43.42,"100,630.00","4,369,354.60","4,369,354.60",Energy,2987521,US1717981013,New York Stock Exchange Inc.
UA,UNDER ARMOUR INC CLASS C,Equity,0.02,19.42,"219,376.00","4,260,281.92","4,260,281.92",Consumer Discretionary,BDF9YM2,US9043112062,New York Stock Exchange Inc.
FOX,FOX CORP CLASS B,Equity,0.02,32.77,"125,775.00","4,121,646.75","4,121,646.75",Communication,BJJMGY5,US35137L2043,NASDAQ
M,MACYS INC,Equity,0.02,15.86,"226,425.00","3,591,100.50","3,591,100.50",Consumer Discretionary,2345022,US55616P1049,New York Stock Exchange Inc.
JWN,NORDSTROM INC,Equity,0.01,36.93,"91,885.00","3,393,313.05","3,393,313.05",Consumer Discretionary,2641827,US6556641008,New York Stock Exchange Inc.
MSFUT,CASH COLLATERAL MSFUT USD,Cash Collateral and Margins,0.01,100.00,"2,366,340.00","2,366,340.00","2,366,340.00",Cash and/or Derivatives,--,--,--
ESZ9,S&P500 EMINI DEC 19,Futures,0.00,"2,994.50",338.00,0.00,"50,607,050.00",Cash and/or Derivatives,--,--,Index And Options Market